game_id,event_idx,period,period_time,eventType,x,y,empty_net,raw_shot_type,game_seconds,last_eventType,last_x,last_y,last_game_seconds,time_since_last_event,dist_from_last_event,shot_distance,shot_angle,shotType,is_goal,isRebound,angle_change_on_rebound,play_speed
2017021146,616,3,19:16,goal,2.0,27.0,0,wrist,3556,giveaway,61.0,3.0,3553.0,3.0,63.69458375717672,91.09335870413386,17.241459398939973,wrist,1,0,0.0,21.231527919058905
2017021195,627,3,19:42,goal,6.0,-35.0,0,wrist,3582,faceoff,69.0,22.0,3565.0,17.0,84.95881355103778,90.07774419910837,22.864508121899647,wrist,1,0,0.0,4.997577267708104
2017021199,617,3,19:58,goal,11.0,-37.0,0,wrist,3598,faceoff,69.0,-22.0,3559.0,39.0,59.90826320300064,86.33075929238663,25.377743861349163,wrist,1,0,0.0,1.536109312897452
2017021202,517,3,17:50,goal,4.0,1.0,0,wrist,3470,faceoff,20.0,22.0,3432.0,38.0,26.40075756488817,85.00588214941364,0.6740368979845053,wrist,1,0,0.0,0.6947567780233729
2017021238,591,3,19:21,goal,12.0,23.0,0,backhand,3561,shot-on-goal,66.0,38.0,3553.0,8.0,56.04462507680822,80.36168241145776,16.63095370672142,backhand,1,1,42.18407163454019,7.005578134601027
2017021258,630,3,19:17,goal,8.0,-29.0,0,wrist,3557,takeaway,38.0,32.0,3554.0,3.0,67.97793759742936,86.03487664894976,19.69862137458028,wrist,1,0,0.0,22.65931253247645
2017021271,607,3,19:34,goal,0.0,24.0,0,snap,3574,blocked-shot,76.0,-5.0,3570.0,4.0,81.34494452638098,92.17917335276988,15.091572678594876,snap,1,1,5.9459383468269404,20.336236131595246
2018020032,608,3,18:22,goal,1.0,-27.0,0,wrist,3502,faceoff,69.0,-22.0,3474.0,28.0,68.18357573492314,92.04890004774636,17.056965576617063,wrist,1,0,0.0,2.4351277048186835
2018020043,602,3,18:05,goal,4.0,-35.0,0,wrist,3485,hit,55.0,-40.0,3444.0,41.0,51.24451190127583,91.92388155425118,22.380135051959574,wrist,1,0,0.0,1.2498661439335568
2018020073,655,3,19:59,goal,1.0,-20.0,0,wrist,3599,blocked-shot,78.0,-8.0,3576.0,23.0,77.92945527847606,90.24411338142782,12.804266065286752,wrist,1,1,23.22310731981685,3.388237186020698
2018020088,640,3,19:09,goal,5.0,-32.0,0,wrist,3549,missed-shot,49.0,16.0,3449.0,100.0,65.11528238439882,89.88882021697692,20.854458039578347,wrist,1,1,0.9469514467734648,0.6511528238439882
2018020090,683,3,17:53,goal,10.0,-32.0,0,wrist,3473,shot-on-goal,62.0,30.0,3450.0,23.0,80.91971329657564,85.23496934944014,22.05106271907673,wrist,1,1,25.96172478510661,3.518248404198941
2018020093,659,3,18:53,goal,10.0,34.0,0,wrist,3533,blocked-shot,70.0,4.0,3508.0,25.0,67.08203932499369,86.00581375697809,23.28606491822357,wrist,1,1,11.397406878595593,2.683281572999748
2018020101,611,3,19:28,goal,3.0,2.0,0,wrist,3568,shot-on-goal,0.0,-2.0,3550.0,18.0,5.0,86.02325267042627,1.3322198538696388,wrist,1,1,0.0448909123446004,0.2777777777777778
2018020127,642,3,19:26,goal,4.0,18.0,0,wrist,3566,faceoff,20.0,22.0,3521.0,45.0,16.492422502470642,86.88498144098322,11.956584243149132,wrist,1,0,0.0,0.3664982778326809
2018020138,647,3,19:36,goal,4.0,-39.0,0,wrist,3576,faceoff,69.0,-22.0,3570.0,6.0,67.1863081289633,93.5200513259055,24.64677085193117,wrist,1,0,0.0,11.197718021493884
2018020182,670,3,19:40,goal,10.0,21.0,0,wrist,3580,stoppage,0.0,0.0,3578.0,2.0,0.0,81.74350127074322,14.886266849017565,wrist,1,0,0.0,0.0
2018020222,622,3,17:54,goal,1.0,-28.0,0,wrist,3474,giveaway,97.0,-7.0,3450.0,24.0,98.2700361249552,92.34717104492157,17.650124219930124,wrist,1,0,0.0,4.0945848385398
2018020228,586,3,19:11,goal,12.0,-33.0,0,backhand,3551,takeaway,87.0,-28.0,3547.0,4.0,75.16648189186454,83.773504164503,23.19859051364819,backhand,1,0,0.0,18.79162047296613
2018020280,582,3,14:51,goal,2.0,-4.0,0,wrist,3291,shot-on-goal,43.0,4.0,3283.0,8.0,41.77319714841085,87.09190547921202,2.632434868986484,wrist,1,1,2.3373058591238203,5.221649643551356
2018020332,673,3,17:58,goal,6.0,-6.0,0,wrist,3478,giveaway,40.0,25.0,3446.0,32.0,46.01086828130936,83.21658488546619,4.134671373736423,wrist,1,0,0.0,1.4378396337909176
2018020336,653,3,18:51,goal,14.0,33.0,0,backhand,3531,hit,17.0,-39.0,3526.0,5.0,72.06247289678588,81.93900170248598,23.74949449286676,backhand,1,0,0.0,14.412494579357176
2018020358,499,3,03:39,goal,0.0,0.0,0,wrist,2619,takeaway,47.0,-38.0,2615.0,4.0,60.440052945046304,89.0,0.0,wrist,1,0,0.0,15.110013236261576
2018020365,647,3,18:21,goal,5.0,-8.0,0,wrist,3501,giveaway,14.0,-20.0,3499.0,2.0,15.0,84.38009243891595,5.440332031005506,wrist,1,0,0.0,7.5
2018020404,559,3,17:06,goal,1.0,34.0,0,wrist,3426,missed-shot,40.0,-18.0,3420.0,6.0,65.0,94.33981132056604,21.124719146072483,wrist,1,1,0.954065734222084,10.833333333333334
2018020511,725,3,18:18,goal,2.0,16.0,0,wrist,3498,faceoff,20.0,22.0,3465.0,33.0,18.97366596101028,88.45903006477066,10.420712396794508,wrist,1,0,0.0,0.5749595745760689
2018020519,701,3,19:41,goal,9.0,-2.0,0,wrist,3581,hit,96.0,18.0,3570.0,11.0,89.26925562588724,80.02499609497022,1.4320961841646465,wrist,1,0,0.0,8.115386875080658
2018020545,689,3,18:01,goal,12.0,-22.0,0,snap,3481,faceoff,69.0,-22.0,3460.0,21.0,57.0,80.0812087820857,15.945395900922854,snap,1,0,0.0,2.7142857142857144
2018020574,636,3,17:54,goal,4.0,22.0,0,wrist,3474,faceoff,69.0,22.0,3456.0,18.0,65.0,87.80091115700337,14.511059500169068,wrist,1,0,0.0,3.611111111111111
